slug,country,courses,ug,pg,flags,impressions_90d,clicks_90d,last_data_date
university-of-minnesota,USA,0,0,0,"NO COURSE DATA",0,0,
michigan-state-university,USA,0,0,0,"NO COURSE DATA",0,0,
indiana-university,USA,0,0,0,"NO COURSE DATA",1,0,
university-of-colorado-boulder,USA,0,0,0,"NO COURSE DATA",0,0,
university-of-pittsburgh,USA,0,0,0,"NO COURSE DATA",0,0,
texas-am-university,USA,0,0,0,"NO COURSE DATA",1,0,
rutgers-university,USA,0,0,0,"NO COURSE DATA",0,0,
stony-brook-university,USA,0,0,0,"NO COURSE DATA",0,0,
suny-buffalo,USA,0,0,0,"NO COURSE DATA",0,0,
illinois-tech,USA,0,0,0,"NO COURSE DATA",1,1,
depaul-university,USA,0,0,0,"NO COURSE DATA",0,0,
university-of-dayton,USA,0,0,0,"NO COURSE DATA",1,0,
clark-university,USA,0,0,0,"NO COURSE DATA",0,0,
wpi,USA,0,0,0,"NO COURSE DATA",0,0,
pace-university,USA,0,0,0,"NO COURSE DATA",0,0,
university-of-bridgeport,USA,0,0,0,"NO COURSE DATA",0,0,
fairleigh-dickinson-university,USA,0,0,0,"NO COURSE DATA",0,0,
webster-university,USA,0,0,0,"NO COURSE DATA",0,0,
george-washington-university,USA,0,0,0,"NO COURSE DATA",0,0,
american-university,USA,0,0,0,"NO COURSE DATA",0,0,
drexel-university,USA,0,0,0,"NO COURSE DATA",0,0,
temple-university,USA,0,0,0,"NO COURSE DATA",0,0,
university-of-connecticut,USA,0,0,0,"NO COURSE DATA",0,0,
rochester-institute-of-technology,USA,0,0,0,"NO COURSE DATA",0,0,
stevens-institute-of-technology,USA,0,0,0,"NO COURSE DATA",0,0,
rensselaer-polytechnic,USA,0,0,0,"NO COURSE DATA",4,0,
university-of-arizona,USA,0,0,0,"NO COURSE DATA",0,0,
colorado-state-university,USA,0,0,0,"NO COURSE DATA",0,0,
university-of-utah,USA,0,0,0,"NO COURSE DATA",0,0,
university-of-rochester,USA,0,0,0,"NO COURSE DATA",0,0,
case-western-reserve-university,USA,0,0,0,"NO COURSE DATA",2,0,
nc-state-university,USA,0,0,0,"NO COURSE DATA",0,0,
iowa-state-university,USA,0,0,0,"NO COURSE DATA",0,0,
university-of-cincinnati,USA,0,0,0,"NO COURSE DATA",0,0,
university-of-delaware,USA,0,0,0,"NO COURSE DATA",0,0,
singapore-management-university,Singapore,0,0,0,"NO COURSE DATA",0,0,
sutd,Singapore,0,0,0,"NO COURSE DATA",0,0,
singapore-institute-of-technology,Singapore,0,0,0,"NO COURSE DATA",0,0,
james-cook-university-singapore,Singapore,0,0,0,"NO COURSE DATA",0,0,
psb-academy,Singapore,0,0,0,"NO COURSE DATA",0,0,
kaplan-singapore,Singapore,0,0,0,"NO COURSE DATA",0,0,
mdis-singapore,Singapore,0,0,0,"NO COURSE DATA",0,0,
curtin-singapore,Singapore,0,0,0,"NO COURSE DATA",0,0,
rmit-singapore,Singapore,0,0,0,"NO COURSE DATA",0,0,
murdoch-university-singapore,Singapore,0,0,0,"NO COURSE DATA",0,0,
sim-singapore,Singapore,0,0,0,"NO COURSE DATA",0,0,
embry-riddle-singapore,Singapore,0,0,0,"NO COURSE DATA",0,0,
sp-jain-singapore,Singapore,0,0,0,"NO COURSE DATA",0,0,
sorbonne-university,France,0,0,0,"NO COURSE DATA",0,0,
sciences-po-paris,France,0,0,0,"NO COURSE DATA",0,0,
ecole-polytechnique,France,0,0,0,"NO COURSE DATA",0,0,
university-of-paris-saclay,France,0,0,0,"NO COURSE DATA",0,0,
insead,France,0,0,0,"NO COURSE DATA",0,0,
university-of-grenoble-alpes,France,0,0,0,"NO COURSE DATA",2,0,
university-of-lyon,France,0,0,0,"NO COURSE DATA",0,0,
university-of-bordeaux,France,0,0,0,"NO COURSE DATA",0,0,
essec-business-school,France,0,0,0,"NO COURSE DATA",0,0,
emlyon-business-school,France,0,0,0,"NO COURSE DATA",1,0,
university-of-strasbourg,France,0,0,0,"NO COURSE DATA",0,0,
university-of-montpellier,France,0,0,0,"NO COURSE DATA",0,0,
university-of-toulouse,France,0,0,0,"NO COURSE DATA",0,0,
aix-marseille-university,France,0,0,0,"NO COURSE DATA",0,0,
university-of-amsterdam,Netherlands,169,25,144,"",0,0,2026-08-25
leiden-university,Netherlands,58,17,41,"",0,0,2026-07-01
utrecht-university,Netherlands,0,0,0,"NO COURSE DATA",0,0,
erasmus-university-rotterdam,Netherlands,0,0,0,"NO COURSE DATA",0,0,
maastricht-university,Netherlands,104,25,79,"",0,0,2026-08-25
vrije-universiteit-amsterdam,Netherlands,133,0,133,"PG ONLY",0,0,2026-08-25
tu-eindhoven,Netherlands,0,0,0,"NO COURSE DATA",0,0,
university-of-groningen,Netherlands,355,94,261,"",0,0,2026-07-01
radboud-university,Netherlands,0,0,0,"NO COURSE DATA",0,0,
wageningen-university,Netherlands,0,0,0,"NO COURSE DATA",0,0,
university-of-twente,Netherlands,0,0,0,"NO COURSE DATA",0,0,
tilburg-university,Netherlands,0,0,0,"NO COURSE DATA",0,0,
han-university,Netherlands,0,0,0,"NO COURSE DATA",0,0,
amsterdam-university-of-applied-sciences,Netherlands,0,0,0,"NO COURSE DATA",0,0,
kth-royal-institute-of-technology,Sweden,0,0,0,"NO COURSE DATA",0,0,
lund-university,Sweden,0,0,0,"NO COURSE DATA",0,0,
uppsala-university,Sweden,112,0,112,"PG ONLY",0,0,2026-08-25
stockholm-university,Sweden,0,0,0,"NO COURSE DATA",0,0,
chalmers-university,Sweden,0,0,0,"NO COURSE DATA",0,0,
university-of-gothenburg,Sweden,0,0,0,"NO COURSE DATA",0,0,
linkoping-university,Sweden,0,0,0,"NO COURSE DATA",0,0,
umea-university,Sweden,0,0,0,"NO COURSE DATA",0,0,
stockholm-school-of-economics,Sweden,0,0,0,"NO COURSE DATA",0,0,
karolinska-institutet,Sweden,0,0,0,"NO COURSE DATA",0,0,
jonkoping-university,Sweden,0,0,0,"NO COURSE DATA",0,0,
malardalen-university,Sweden,0,0,0,"NO COURSE DATA",0,0,
mid-sweden-university,Sweden,0,0,0,"NO COURSE DATA",0,0,
halmstad-university,Sweden,0,0,0,"NO COURSE DATA",0,0,
slu-sweden,Sweden,0,0,0,"NO COURSE DATA",0,0,
university-of-sharjah,UAE,0,0,0,"NO COURSE DATA",2,0,
american-university-of-sharjah,UAE,0,0,0,"NO COURSE DATA",0,0,
khalifa-university,UAE,0,0,0,"NO COURSE DATA",0,0,
uae-university,UAE,0,0,0,"NO COURSE DATA",0,0,
heriot-watt-university-dubai,UAE,64,33,31,"",0,0,2026-08-25
middlesex-university-dubai,UAE,0,0,0,"NO COURSE DATA",0,0,
murdoch-university-dubai,UAE,0,0,0,"NO COURSE DATA",0,0,
uowd-dubai,UAE,0,0,0,"NO COURSE DATA",0,0,
rit-dubai,UAE,0,0,0,"NO COURSE DATA",0,0,
